movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class,-1,-1
the-little-hours,69,1.647175,06/30/2017,114,0.66668078107,6.3,0.0535714285714,0,-1,-1
some-freaks,67,0.0,08/04/2017,0,0.514384599371,0,0.28021978022,0,-1,-1
everybody-loves-somebody,74,1.915789,02/17/2017,333,0.232604462065,8.5,0.285714285714,0,-1,-1
nobody-speak-trials-of-the-free-press,68,0.0,06/23/2017,0,-0.20504598768,2.5,0.0164835164835,0,-1,-1
california-typewriter,80,0.218563,08/18/2017,20,0.961588369114,0,0.183673469388,0,-1,-1
three-billboards-outside-ebbing-missouri,88,54.479767,11/10/2017,1726,0.827119430636,7.6,10.2786885246,1,5,5
like-crazy-2016,74,0.107362,05/05/2017,13,-0.313773969407,0,0.59693877551,0,-1,-1
the-settlers,75,0.041562,03/03/2017,6,0.0464764030612,0,0.160714285714,0,-1,-1
sylvio,71,0.0,10/13/2017,0,0.631007054316,0,0.175324675325,0,-1,-1
the-work,84,0.005853,10/20/2017,2,1.55217693324,0,0.634770889488,0,-1,-1
in-loco-parentis,73,0.037381,09/08/2017,13,0,0,0,0,-1,-1
the-untamed,72,0.027593,07/21/2017,8,0.691829846115,7.3,0.336734693878,0,-1,-1
call-me-by-your-name,93,18.076437,11/24/2017,914,0.842738257236,7.7,1.74587479936,1,5,5
last-men-in-aleppo,80,0.014637,05/03/2017,5,-0.647243420584,3.4,0.160714285714,0,-1,-1
whose-streets,81,0.182799,08/11/2017,39,0.911637265973,0,0.0446428571429,0,-1,-1
lucky-2017,79,0.955925,09/29/2017,111,0.974437041313,7.1,1.0679245283,0,-1,-1
megan-leavey,66,13.406883,06/09/2017,1956,0.694331507663,6.7,0.104150039904,0,-1,-1
kiki,73,0.0,02/24/2017,0,1.00876801165,0,1.04006968641,0,-1,-1
the-big-sick,86,42.873127,06/23/2017,2597,1.24633971066,7.0,0.317604208822,0,5,-1
cries-from-syria,76,0.0,03/03/2017,0,0.503813650804,6.6,0.122950819672,0,-1,-1
wind-river,73,33.800859,08/04/2017,2890,1.5911925414,7.7,0.47791653975,0,-1,-1
afterimage,75,0.033443,05/19/2017,6,0.426979506078,4.8,0.142857142857,0,-1,-1
slack-bay,66,0.112621,04/21/2017,7,0.0327926657265,0,0.0225563909774,0,-1,-1
diamond-island,69,0.0,10/13/2017,0,0,0,0,0,-1,-1
darkest-hour,75,56.44312,11/22/2017,1733,1.09148812659,7.3,5.85733082707,1,5,-1
buena-vista-social-club-adios,67,0.123445,05/26/2017,80,0.0,0,0.0857142857143,0,-1,-1
polina,69,0.165203,08/25/2017,31,1.20252433315,4.3,0.285714285714,0,-1,-1
1922,70,0.0,10/20/2017,0,0.577389395167,7.1,0.494465739265,0,-1,-1
brads-status,71,2.133158,09/15/2017,453,1.05797736989,7.1,0.303571428571,0,-1,-1
the-rape-of-recy-taylor,73,0.0,12/08/2017,0,0,0,1.21428571429,0,-1,-1
john-wick-chapter-2,75,92.029184,02/10/2017,3113,0.450206627722,8.1,0.0762072434608,0,-1,-1
wonder,66,132.422809,11/17/2017,3519,0.643451218733,7.7,0.491903493996,0,-1,-1
window-horses,82,0.0,09/29/2017,1,0.913493216835,0,0.32967032967,0,-1,-1
midsummer-in-newtown,66,0.0,01/27/2017,0,0,0,0,0,-1,-1
only-the-brave,72,18.343983,10/20/2017,2577,0.598080279504,7.4,0.0456442709035,0,-1,-1
landline,66,0.940854,07/21/2017,144,0.979308214144,6.5,0.301648351648,0,-1,-1
guardians-of-the-galaxy-vol-2,67,389.813101,05/05/2017,4347,0.677510759688,7.7,0.0105062593108,0,-1,-1
happy-end,72,0.301718,12/22/2017,20,0.734735748511,6.7,1.28571428571,0,-1,-1
rat-film,85,0.035195,09/15/2017,4,-0.0230907021439,3.7,0.0756302521008,0,-1,-1
rodney-king,74,0.0,04/28/2017,0,-0.32625814033,0,0.0144787644788,0,-1,-1
the-divine-order,67,0.076277,10/27/2017,9,0.0977412241493,7.5,0.1875,0,-1,-1
women-who-kill,78,0.0,07/26/2017,0,0.137297399171,0,0.244897959184,0,-1,-1
captain-underpants,69,73.921,06/02/2017,3529,0.450890847745,6.8,0.0278117556171,0,-1,-1
the-midwife,66,0.603582,07/21/2017,44,0.0226948147454,0,0.0209059233449,0,-1,-1
i-am-another-you,86,0.0,09/27/2017,0,0,0,0.375,0,-1,-1
nobodys-watching,79,0.0,09/08/2017,0,0.294464452448,0,0.214285714286,0,-1,-1
angkor-awakens-a-portrait-of-cambodia,81,0.0,05/05/2017,0,0,0,0,0,-1,-1
the-survivalist,80,0.0,05/19/2017,0,0.248904074265,6.4,0.0892857142857,0,-1,-1
destination-unknown,75,0.0,11/10/2017,0,0.798579568157,0,0.603896103896,0,-1,-1
my-journey-through-french-cinema,87,0.052214,06/23/2017,4,0.0,0,0.0,0,-1,-1
sidemen-long-road-to-glory,70,0.031399,08/18/2017,6,0,0,0,0,-1,-1
phantom-thread,90,21.023275,12/25/2017,1186,1.01633802296,7.7,1.43347218819,1,-1,-1
left-on-purpose,69,0.0,02/10/2017,0,0,0,0,0,-1,-1
song-of-granite,68,0.016182,11/15/2017,7,1.67960160287,0,0.296703296703,0,-1,-1
nakom,70,0.0,03/03/2017,0,0,0,0,0,-1,-1
the-challenge,69,0.011043,09/08/2017,5,4.02685653665,0,0.785851648352,0,-1,-1
spettacolo,76,0.032494,09/06/2017,5,1.13750447751,0,1.55756929638,0,-1,-1
ex-libris-new-york-public-library,91,0.158192,09/13/2017,15,0,6.8,0.0,0,-1,-1
dig-two-graves,67,0.0,03/24/2017,0,-0.0340522454166,5.7,0.00492610837438,0,-1,-1
its-not-yet-dark,75,0.001227,08/04/2017,2,0.0690269525672,0,0.0918367346939,0,-1,-1
mr-gaga,71,0.173994,02/01/2017,8,0.0,0,0.0714285714286,0,-1,-1
chasing-coral,86,0.0,07/14/2017,0,1.60292397615,6.7,0.0429787809163,0,-1,-1
princess-cyd,72,0.0,11/03/2017,0,0.382958485118,7.8,0.514285714286,0,-1,-1
foxtrot,90,0.518859,12/08/2017,45,0.689995959252,7.0,0.831428571429,0,-1,-1
dolores,81,0.555309,09/01/2017,33,4.34328106685,0,6.50779220779,0,-1,-1
berlin-syndrome,70,0.02866,05/26/2017,25,0.663153948528,5.8,0.0735930735931,0,-1,-1
starless-dreams,85,0.004776,01/20/2017,2,0.0,0,0.0,0,-1,-1
let-it-fall-la-1982-1992,92,0.0,04/21/2017,0,0,0,0,0,-1,-1
7852-hitchcocks-shower-scene,74,0.037664,10/13/2017,22,0,9.3,0.0,0,-1,-1
the-salesman,85,2.402067,01/27/2017,115,0.318268120227,7.4,0.0573979591837,0,-1,-1
